"normalizedSku","matchCount","sku","productId","variantId","name","published","visibility","price","stock","stockManagement"
"602000800","3","602 0008 00","289264359","1294422687","KIT POWERSHIFTER LUK - FOCUS","true","visible","1950000.00","","false"
"602000800","3","602 0008 00","289264518","1294423334","KIT POWERSHIFTER LUK - FIESTA","true","visible","1950000.00","","false"
"602000800","3","602 0008 00","289264721","1294423867","KIT POWERSHIFTER LUK - ECOSPORT","true","visible","1950000.00","","false"
"624352709","3","624 3527 09","289232280","1294303879","CONJUNTO LUK - 308","true","visible","340000.00","","false"
"624352709","3","624 3527 09","289232656","1294305267","CONJUNTO LUK - 408","true","visible","340000.00","","false"
"624352709","3","624 3527 09","289232758","1294305636","CONJUNTO LUK - C4","true","visible","340000.00","","false"
"415032210","2","415 0322 10","288989355","1293280362","BIMASA LUK - CRUZE","true","visible","570000.00","","false"
"415032210","2","415 0322 10","288997392","1293319242","BIMASA LUK - CAPTIVA","true","visible","570000.00","","false"
"415064710","2","415 0647 10","288991438","1293290466","BIMASA LUK - FOCUS","true","visible","610000.00","","false"
"415064710","2","415 0647 10","289806444","1296503554","BIMASA LUK - MONDEO","true","visible","690000.00","","false"
"417001911","2","417 0019 11","289316337","1294631644","BIMASA LUK - BORA","true","visible","490000.00","","false"
"417001911","2","417 0019 11","289821956","1296557687","BIMASA LUK - VENTO","true","visible","490000.00","","false"
"600035700","2","600 0357 00","289280992","1294481593","KIT COMPLETO LUK - EXPERT","true","visible","1100000.00","","false"
"600035700","2","600 0357 00","289281445","1294483292","KIT COMPLETO LUK - JUMPY","true","visible","1100000.00","","false"
"624394700","2","624 3947 00","289280023","1294476677","CONJUNTO + RODAMIENTO LUK - EXPERT","true","visible","420000.00","","false"
"624394700","2","624 3947 00","289280333","1294478373","CONJUNTO + RODAMIENTO LUK - JUMPY","true","visible","420000.00","","false"
"626302209","2","626 3022 09","289234132","1294310864","CONJUNTO LUK - HILUX","true","visible","440000.00","","false"
"626302209","2","626 3022 09","289234249","1294311354","CONJUNTO LUK - SW4","true","visible","440000.00","","false"
"k11321","2","K11321","290641553","1299630025","FILTRO SAKURA - TOYOTA HILUX","false","hidden","","","false"
"k11321","2","K11321","290641787","1299630730","FILTRO SAKURA - TOYOTA SW4","false","hidden","","","false"
"k18013","2","K18013","290641299","1299628863","FILTRO SAKURA - NISSAN FRONTIER","false","hidden","","","false"
"k18013","2","K18013","290641406","1299629396","FILTRO SAKURA - RENAULT ALASKAN","false","hidden","","","false"
